idx,label,id,type,source
26966,"Oberlin, Charles Conservé.",ayhzgkxf,Person,contributor
163366,"Talyzin, F. F. (Fedor Fedorovich)",ft9wpd83,Person,contributor
520812,"Du Bois, Philippe Goibaud, sieur, 1626-1694.",vjnyku9p,Person,contributor
474398,"Zaichkowsky, Leonard D., 1944-",tw6qtjyv,Person,contributor
541382,"Ludvíková, Miroslava",wa7mytvm,Person,contributor
442658,"Lehmann, L. (Louis), 1824-1899.",ss4v5ez4,Person,contributor
273164,"Barker, Sylvia M., 1914-",kqyr48jp,Person,contributor
50734,"Schmitt, Pierre.",btqmcqrh,Person,contributor
297837,"Tamm, Mall",mme4uz4p,Person,contributor
604859,"Grogono, Eric Bernard, 1909-1999.",yhvctk5s,Person,subject
179619,"Khoo, F. Y.",gdffqkj6,Person,contributor
141893,"Reid, T. Whitehead.",f2cn9e36,Person,contributor
639736,"Walsh, John.",zscc6auu,Person,contributor
444212,"Pulci, Luigi",stsup32k,Person,contributor
532593,"Swieten, Gottfried van",vyrg7p83,Person,contributor
394589,"Crooks, Robert, 1941-",r2wdmtrk,Person,contributor
101402,"Chouémi, Moustafa.",dm3eqqxr,Person,contributor
510555,"Gros-Devaud, Louis.",v79j2vwk,Person,contributor
216873,"Puerto Sarmiento, F. Javier",hqq2mmha,Person,contributor
418335,"Bremner, James, active 1803.",rw7dsjhj,Person,contributor
15312,"Simeon, John",ajjhydvj,Person,contributor
327720,"Turner, George, Sir, 1848-1915.",npf4k4sr,Person,subject
308604,"Buist, John B. (John Brown), 1846?-1915.",mzde2qxd,Person,subject
88847,"Coste, Louis.",d68d4m27,Person,contributor
541491,"Klausner, Samuel Z.",wabrkx9v,Person,contributor
136155,"Bird, Harrington, 1846-1904.",eu5xycyq,Person,contributor
242812,"Velati, Max.",jn9sduwv,Person,contributor
564393,"Burton, John",x4pyusjj,Person,contributor
537103,"Hanedoes, Johannes.",w5nhbjfh,Person,contributor
9357,"Carpentier, Adolphe.",ac49aryg,Person,contributor
243744,"Du Val, Charles, 1846-1889.",jpcqd6ep,Person,subject
336928,"Vaughan, Gerard Ffolliott, Sir, 1923-2003.",nzrp3yc7,Person,subject
514416,"Piguillem, Francisco.",vbjcg4er,Person,contributor
60050,"Billinge, Charles",c5u3hy98,Person,contributor
279409,"Reusner, Hieronymus, 1558-",kxwmvtct,Person,contributor
411293,"Beauregard, René Hyacinthe Louvel",rnafv2xp,Agent,contributor
101970,"Nedham, Marchamont, 1620-1678.",dmnhegeb,Person,contributor
492335,"Hewitt, Paul, 1967-",uhz3fg9e,Person,subject
263710,"Cagliostro, Alessandro, conte di, 1743-1795.",kdc68t2a,Person,subject
358473,"Fidler, Jacob Christoph.",psbn6pry,Person,contributor
84857,"Madders, Jane",czwhbyba,Person,contributor
261411,"Thorne, William Bezly.",kar79hvy,Person,contributor
90200,"Fontoura de Sequeira, Luís Artur.",d7tu7fbx,Person,contributor
381720,"Madan, A. P., 1942-",qkqkjvvq,Person,contributor
240765,"Schreger, Christian Heinrich Theodor, 1768-1833.",jjz9h2h7,Person,subject
369805,"V W Eves & Company Limited, 1949-1969",q6qkb4sd,Agent,contributor
82359,"Ortiz de Landázuri, Eduardo, 1910-1985.",cx7g34wv,Person,subject
534774,"Blackmore, Richard, Sir, 1654-1729",w34hkmh2,Person,contributor
607225,"Sugirtharajah, R. S. (Rasiah S.)",ymg9gzaa,Person,contributor
633631,"Defoort, P.",zjmnur32,Person,contributor
